,school name,federal loan rate,t9 cost for public schools,t9 cost for private schools,tuition revenue per full time enrollment,tuition cost for in state students,part time student retention rate for 4y,full time students <4y,full time students in 4y,cost of attendance w fam other expenses,compl rate for <4y (white),compl rate for <4y (2 or more races),compl rate for <4y (hawaiian/pac islander),compl rate for <4y (hispanic),compl rate for <4y (black),compl rate for <4y (american indian),compl rate less than 4y (american indian),compl rate for 4y (white),compl rate for 4y (2 or more races),compl rate for 4y (hawaiian/pac islander),compl rate for 4y (hispanic),compl rate for 4y (black),compl rate for 4y (asian),compl rate for 4y (american indian),1st-time fulltime compl 4y (2y avg),1st-time fulltime compl 4y,id,latitude,longitude
206,California State University-Los Angeles,0.1767,3060.0,0.0,3335.0,6785.0,0.4735,0.0,0.7741,4258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.604,0.4412,1.0,0.4962,0.4851,0.6463,0.25,0.5213,0.519,110592,34.066927,-118.168965
207,California State University-Northridge,0.2136,2764.0,0.0,4251.0,7043.0,0.6072,0.0,0.8274,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6962,0.56,0.3333,0.5017,0.4095,0.6618,0.4,0.5441,0.542,110608,34.240126,-118.529319
208,California State University-Sacramento,0.2381,2343.0,0.0,5330.0,7392.0,0.6127,0.0,0.826,4074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6116,0.5147,0.5385,0.5679,0.4808,0.6,0.3333,0.5557,0.5746,110617,38.559415,-121.423549
209,University of California-Berkeley,0.1481,1935.0,0.0,21095.0,14226.0,0.8052,0.0,0.9614,14731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9312,0.9187,0.75,0.854,0.8144,0.9575,0.7692,0.9258,0.9281,110635,37.871918,-122.260463
210,University of California-Davis,0.2368,2386.0,0.0,18166.0,14645.0,0.7024,0.0,0.9202,13700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882,0.8675,0.9565,0.8241,0.8246,0.914,1.0,0.866,0.8694,110644,38.539667,-121.749567
211,University of California-Irvine,0.2004,2695.0,0.0,15318.0,13775.0,0.7436,0.0,0.9395,12905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8249,0.8495,0.75,0.7658,0.789,0.8992,0.75,0.8431,0.8367,110653,33.648434,-117.841248
212,University of California-Los Angeles,0.1224,1826.0,0.0,18698.0,13258.0,0.8095,0.0,0.963,13742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9321,0.9283,0.7727,0.8881,0.7979,0.9501,0.8889,0.9171,0.9213,110662,34.07178,-118.442179
213,University of California-Riverside,0.3373,3019.0,0.0,12175.0,13754.0,0.6167,0.0,0.8955,12711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7205,0.7686,0.6667,0.7483,0.6949,0.8019,0.4,0.7688,0.7645,110671,33.97246,-117.32741
214,University of California-San Diego,0.246,2198.0,0.0,18651.0,14700.0,0.6667,0.0,0.946,12913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8876,0.9184,0.7273,0.8193,0.8246,0.9347,1.0,0.8828,0.8935,110680,32.877749,-117.235866
215,University of California-San Francisco,0.0,0.0,0.0,22058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110699,37.763737,-122.458489
216,University of California-Santa Barbara,0.168,1635.0,0.0,16684.0,14417.0,0.6829,0.0,0.9101,14225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8787,0.8363,0.8333,0.8136,0.7642,0.8933,0.6667,0.8466,0.8538,110705,34.416297,-119.846426
217,University of California-Santa Cruz,0.234,1767.0,0.0,12748.0,14070.0,0.5306,0.0,0.8701,13899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7755,0.7889,0.7273,0.7385,0.5902,0.8485,1.0,0.7675,0.7809,110714,36.995584,-122.058801
218,Sofia University,0.2,0.0,0.0,6312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110778,37.430325,-122.10866
219,California Beauty School,0.5111,0.0,5.0,14225.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110875,37.645217,-120.99689
220,California Christian College,0.0,0.0,0.0,16108.0,10290.0,0.0,0.0,0.1667,7515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110918,36.749366,-119.711123
221,Haven University,0.0,0.0,0.0,6542.0,6860.0,0.0,0.0,0.5,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,111045,33.777392,-117.939412
222,California Hair Design Academy,0.4031,0.0,2.0,11698.0,0.0,0.0,0.8594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111054,32.765221,-117.024261
223,California Institute of the Arts,0.3885,0.0,36.0,31921.0,53466.0,0.9,0.0,0.7384,7826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7294,0.0,0.0,0.8095,0.75,0.7333,0.5,0.6908,0.7193,111081,34.39327,-118.566837
224,California State University Maritime Academy,0.4168,103.0,0.0,7206.0,7116.0,0.0,0.0,0.7739,8664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7193,0.7083,0.0,0.6,0.5,0.68,0.0,0.6455,0.6818,111188,38.069061,-122.231551
225,California Western School of Law,0.0,0.0,0.0,33424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111391,32.722192,-117.162416
226,Canada College,0.0031,48.0,0.0,1243.0,1362.0,0.0,0.6764,0.0,4698.0,0.5,0.5455,0.0,0.3065,0.0,0.4615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111434,37.44877,-122.265398
227,College of the Canyons,0.0078,469.0,0.0,850.0,1146.0,0.0,0.704,0.0,3276.0,0.4739,0.4706,0.0,0.3607,0.2759,0.5689,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111461,34.403993,-118.568698
