,school name,id,latitude,longitude
456,Marshall B Ketchum University,123943,33.889348,-117.886229
457,Southern California Institute of Architecture,123952,34.044215,-118.232799
458,University of Southern California,123961,34.021281,-118.284169
459,Southwestern Law School,123970,34.061558,-118.288375
460,Taft College,124113,35.149343,-119.459751
461,Claremont School of Theology,124283,34.107602,-117.715256
462,Thomas Aquinas College,124292,34.429009,-119.087141
463,Epic Bible College & Graduate School,124487,38.645152,-121.362642
464,UEI College-Huntington Park,124681,33.986057,-118.226206
465,Concorde Career College-San Bernardino,124706,34.066823,-117.283995
466,Concorde Career College-North Hollywood,124937,34.186407,-118.403627
467,Ventura College,125028,34.277393,-119.230604
468,The Santa Barbara and Ventura Colleges of Law at Ventura,125037,34.25747,-119.232988
469,Bridges Beauty College,125082,34.528602,-117.303933
470,Victor Valley College,125091,34.472231,-117.261456
471,Berkeley City College,125170,37.869769,-122.269877
472,Walden University,125231,44.98125,-93.265738
473,Waynes College of Beauty,125310,36.700635,-121.652672
474,West Hills College-Coalinga,125462,36.147891,-120.356747
475,West Los Angeles College,125471,34.004512,-118.386664
476,West Valley College,125499,37.26398,-122.008324
477,Carrington College-Sacramento,125532,38.556151,-121.371331
478,Westminster Theological Seminary in California,125718,33.121447,-117.046371
479,Westmont College,125727,34.450151,-119.662517
480,Whittier College,125763,33.978773,-118.032299
481,Woodbury University,125897,34.208011,-118.341147
482,The Wright Institute,126012,37.868221,-122.253168
483,Thomas Jefferson School of Law,126049,32.717595,-117.157862
484,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,126076,34.085465,-118.346613
485,Yuba College,126119,39.126536,-121.53964
486,The Salon Professional Academy-Grand Junction,126164,39.078114,-108.56521
487,Adams State University,126182,37.473636,-105.879642
488,Aims Community College,126207,40.409559,-104.763415
489,Arapahoe Community College,126289,39.607505,-105.018631
490,Bel-Rea Institute of Animal Technology,126359,39.686194,-104.876207
491,University of Colorado Denver/Anschutz Medical Campus,126562,39.745149,-104.837722
492,University of Colorado Colorado Springs,126580,38.892735,-104.800296
493,Spartan College of Aeronautics and Technology,126605,39.914822,-105.119096
494,University of Colorado Boulder,126614,40.008781,-105.270823
495,Colorado Christian University,126669,39.71388,-105.09456
496,Colorado College,126678,38.84886,-104.822697
497,Concorde Career College-Aurora,126687,39.718699,-104.867089
498,Colorado Mountain College,126711,39.54636,-107.324441
499,Colorado Northwestern Community College,126748,40.081112,-108.790048
500,Colorado School of Mines,126775,39.751443,-105.223364
501,Colorado School of Trades,126784,39.74181,-105.104174
502,Colorado State University-Fort Collins,126818,40.574805,-105.080732
503,Colorado Technical University-Colorado Springs,126827,38.894265,-104.833928
504,Community College of Aurora,126863,39.71788,-104.802673
505,Technical College of the Rockies,126915,38.702524,-108.031072
506,Community College of Denver,126942,39.741413,-105.001044
507,Lincoln College of Technology-Denver,126951,39.77651,-104.856171
508,Denver Seminary,126979,39.600595,-105.022363
509,University of Denver,127060,39.678005,-104.963259
510,Emily Griffith Technical College,127158,39.74575,-104.985751
511,Fort Lewis College,127185,37.275939,-107.867422
512,Front Range Community College,127200,39.901452,-105.038068
513,Iliff School of Theology,127273,39.675927,-104.960657
